TXN001;C01;18-02-2025;01:04:33 AM;16.9;Debit
TXN002;C01;18-02-2025;01:05:01 AM;3.1;Debit
TXN003;C01;18-02-2025;01:12:20 AM;16.9;Debit
TXN004;C01;18-02-2025;01:13:48 AM;16.9;Debit
TXN005;C01;18-02-2025;01:14:45 AM;3.1;Debit
TXN006;C01;18-02-2025;01:17:13 AM;3.1;Debit
TXN007;C01;18-02-2025;12:22:38 PM;33.8;Debit
TXN008;C01;19-02-2025;02:25:19 AM;6.499999999999972;Debit
TXN009;C01;19-02-2025;02:39:00 AM;240.0;Debit
TXN010;C01;19-02-2025;02:39:00 AM;220.0;Debit
TXN011;C01;19-02-2025;02:44:46 AM;200.0;Debit
TXN012;C01;19-02-2025;02:45:05 AM;180.0;Debit
TXN013;C01;19-02-2025;02:47:16 AM;160.0;Debit
TXN014;C01;19-02-2025;02:49:40 AM;140.0;Debit
TXN015;C01;19-02-2025;02:50:25 AM;120.0;Debit
TXN016;C03;20-02-2025;19:52:12 PM;2.1;Debit
TXN017;C02;21-02-2025;15:10:23 PM;9.2;Debit
TXN018;C04;21-02-2025;19:42:39 PM;4.2;Debit
TXN019;VD001;21-02-2025;19:42:39 PM;4.2;Credit
TXN020;C04;21-02-2025;21:31:21 PM;5.0;Debit
TXN021;VD001;21-02-2025;21:31:21 PM;5.0;Credit
TXN022;VD001;22-02-2025;21:31:21 PM;5.0;Credit
TXN023;VD001;22-02-2025;21:31:21 PM;5.0;Credit
TXN024;C01;22-02-2025;21:51:40 PM;9.2;Debit
TXN025;VD003;22-02-2025;21:51:40 PM;9.2;Credit
TXN026;C01;22-02-2025;22:02:03 PM;2.1;Debit
TXN027;VD002;22-02-2025;22:02:03 PM;2.1;Credit
TXN028;VD002;22-02-2025;22:02:19 PM;2.1;Debit
TXN029;C01;22-02-2025;22:02:19 PM;2.1;Credit
TXN030;C01;22-02-2025;22:06:02 PM;6.2;Debit
TXN031;VD002;22-02-2025;22:06:02 PM;6.2;Credit
TXN032;VD002;22-02-2025;22:06:09 PM;6.2;Debit
TXN033;C01;22-02-2025;22:06:09 PM;6.2;Credit
TXN034;C01;22-02-2025;22:09:09 PM;110.6;Debit
TXN035;C01;22-02-2025;22:09:30 PM;104.39999999999999;Debit
TXN036;VD002;22-02-2025;22:09:39 PM;6.2;Debit
TXN037;C01;22-02-2025;22:09:39 PM;6.2;Credit
TXN038;VD002;22-02-2025;22:09:39 PM;6.2;Debit
TXN039;C01;22-02-2025;22:09:39 PM;6.2;Credit
TXN040;C01;22-02-2025;22:11:22 PM;110.6;Debit
TXN041;VD002;22-02-2025;22:11:31 PM;6.2;Debit
TXN042;C01;22-02-2025;22:11:31 PM;6.2;Credit
TXN043;C01;22-02-2025;22:13:48 PM;110.6;Debit
TXN044;VD002;22-02-2025;22:14:02 PM;6.2;Debit
TXN045;C01;22-02-2025;22:14:02 PM;6.2;Credit
TXN046;C01;22-02-2025;22:19:30 PM;4.2;Debit
TXN047;VD003;22-02-2025;22:19:30 PM;4.2;Credit
TXN048;VD003;22-02-2025;22:20:03 PM;4.2;Debit
TXN049;C01;22-02-2025;22:20:03 PM;4.2;Credit
TXN050;C01;22-02-2025;22:23:49 PM;112.6;Debit
TXN051;C01;22-02-2025;22:23:49 PM;108.39999999999999;Debit
TXN052;VD003;22-02-2025;22:24:30 PM;4.2;Debit
TXN053;C01;22-02-2025;22:24:30 PM;4.2;Credit
TXN054;VD003;22-02-2025;22:24:30 PM;4.2;Debit
TXN055;C01;22-02-2025;22:24:30 PM;4.2;Credit
